Vehicle ID,Model Code,OEM Model,OEM Variant,Custom Model,Custom Variant,Display Name,Segment,Sub Segment,Colour Code,Colour,Fuel,Seating,Wheels,Transmission,Drivetrain,Body Make,Body Type,CC,GVW,Permit,Taxi Price,Status
4614,AW62AYZT7TF05A00BJ,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,BJ,BJ,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
4615,AW62AYZT7TF05A00WX,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,WX,EVEREST WHITE DT,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
4616,AW62AYZT7TF05A00BH,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,BH,BH,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5262,AW62AYZT7TF10A00SX,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,SX,SX,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5280,AW62AYZT7TF10A00BH,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,BH,BH,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5281,AW62AYZT7TF10A00BJ,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,BJ,BJ,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5283,AW62AYZT7TF10A00WX,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,WX,EVEREST WHITE DT,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5284,AW62AYZT7TF10A00CX,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,CX,CX,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5285,AW62AYZT7TF10A00RS,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,RS,RS,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5286,AW62AYZT7TF10A00SH,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,SH,SH,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5289,AW62AYZT7TF10A00JS,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700,AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,XUV700 AX7 DSL AT 7 STR BS6.2 DUAL TONE - NEW,PERSONAL,XUV,JS,JS,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
5270,AW64BJZT7TF10C00XJ,XUV700,AX7 DSL AT AWD 7 STR BS6.2 - EBONY,XUV700,AX7 DSL AT AWD 7 STR BS6.2 - EBONY,XUV700 AX7 DSL AT AWD 7 STR BS6.2 - EBONY,PERSONAL,XUV,XJ,STEALTH BLACK,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
916,AW64BJZT7TF05A00XH,XUV700,AX7 DSL AT AWD 7 STR BS6.2 - NEW,XUV700,AX7 DSL AT AWD 7 STR BS6.2 - NEW,XUV700 AX7 DSL AT AWD 7 STR BS6.2 - NEW,PERSONAL,XUV,XH,NAPOLI BLACK,DIESEL,7,4,AUTOMATIC,FWD,SUV,Complete,2198,0,PRIVATE,,Active
